Date,total_num_articles,num_of_relevant_articles,inflation_articles_per_month,positive_articles,neutral_articles,negative_articles,sentiment_gap
1980.0,6791.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.0833333333333,6480.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.1666666666665,6977.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.2499999999998,6728.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.333333333333,6805.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.4166666666663,6700.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.4999999999995,6141.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.5833333333328,6618.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.666666666666,6751.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.7499999999993,7229.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.8333333333326,7161.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.9166666666658,6962.0,0.0,0.0,0.0,0.0,0.0,0.0
1980.999999999999,7792.0,1054.0,78.0,5.0,7.0,66.0,61.0
1981.0833333333323,6580.0,796.0,61.0,4.0,3.0,54.0,50.0
1981.1666666666656,7687.0,961.0,48.0,10.0,1.0,37.0,27.0
1981.2499999999989,7695.0,820.0,46.0,7.0,4.0,35.0,28.0
1981.3333333333321,8682.0,834.0,46.0,6.0,7.0,33.0,27.0
1981.4166666666654,8164.0,852.0,52.0,8.0,4.0,40.0,32.0
1981.4999999999986,7552.0,764.0,49.0,3.0,4.0,42.0,39.0
1981.583333333332,7757.0,932.0,46.0,7.0,5.0,34.0,27.0
1981.6666666666652,7312.0,862.0,57.0,3.0,6.0,48.0,45.0
1981.7499999999984,9167.0,1063.0,43.0,2.0,4.0,37.0,35.0
1981.8333333333317,8736.0,1025.0,51.0,4.0,6.0,41.0,37.0
1981.916666666665,8007.0,948.0,42.0,2.0,4.0,36.0,34.0
1981.9999999999982,8893.0,863.0,40.0,1.0,6.0,33.0,32.0
1982.0833333333314,8186.0,883.0,37.0,4.0,4.0,29.0,25.0
1982.1666666666647,7738.0,821.0,42.0,4.0,2.0,36.0,32.0
1982.249999999998,8440.0,719.0,22.0,2.0,1.0,19.0,17.0
1982.3333333333312,7896.0,808.0,29.0,1.0,2.0,26.0,25.0
1982.4166666666645,7587.0,909.0,35.0,2.0,2.0,31.0,29.0
1982.4999999999977,8170.0,865.0,30.0,1.0,3.0,26.0,25.0
1982.583333333331,8691.0,981.0,21.0,0.0,1.0,20.0,20.0
1982.6666666666642,7738.0,825.0,17.0,0.0,1.0,16.0,16.0
1982.7499999999975,9763.0,960.0,49.0,6.0,6.0,37.0,31.0
1982.8333333333308,8755.0,879.0,39.0,3.0,7.0,29.0,26.0
1982.916666666664,7984.0,883.0,30.0,4.0,1.0,25.0,21.0
1982.9999999999973,8203.0,693.0,37.0,5.0,2.0,30.0,25.0
1983.0833333333305,8078.0,571.0,30.0,1.0,4.0,25.0,24.0
1983.1666666666638,8667.0,641.0,17.0,2.0,1.0,14.0,12.0
1983.249999999997,9876.0,653.0,21.0,3.0,3.0,15.0,12.0
1983.3333333333303,9240.0,660.0,18.0,4.0,4.0,10.0,6.0
1983.4166666666636,7776.0,613.0,25.0,4.0,2.0,19.0,15.0
1983.4999999999968,9426.0,559.0,16.0,0.0,2.0,14.0,14.0
1983.58333333333,8750.0,508.0,5.0,0.0,0.0,5.0,5.0
1983.6666666666633,7815.0,1038.0,15.0,1.0,1.0,13.0,12.0
1983.7499999999966,9937.0,907.0,11.0,1.0,3.0,7.0,6.0
1983.8333333333298,9338.0,776.0,12.0,1.0,3.0,8.0,7.0
1983.916666666663,8144.0,749.0,11.0,0.0,1.0,10.0,10.0
